age,income,employment_length,loan_amount,loan_term,credit_score,existing_loans,debt_to_income,marital_status,education,property_area,default
22,113501,13,34304,12,601,2,0.6,Married,Graduate,Rural,0
26,22079,9,18074,12,324,2,0.54,Single,Postgraduate,Urban,1
24,22717,15,9493,12,369,3,0.2,Married,Graduate,Semiurban,1
49,79676,14,39228,36,411,2,0.33,Married,Postgraduate,Rural,0
38,47952,7,19140,48,663,0,0.29,Married,Postgraduate,Urban,0
46,106444,2,36655,12,602,4,0.27,Married,Postgraduate,Semiurban,0
54,62460,7,48472,12,770,0,0.43,Single,Postgraduate,Rural,0
30,110397,6,11816,24,390,4,0.66,Married,Graduate,Urban,1
56,92847,17,16639,36,829,3,0.27,Single,Postgraduate,Rural,0
34,113607,2,34492,12,491,2,0.39,Married,Graduate,Urban,0
51,109106,3,16240,24,851,2,0.41,Married,Graduate,Semiurban,0
35,38449,5,37698,60,541,2,0.88,Married,Postgraduate,Semiurban,1
28,53536,5,31957,12,437,4,0.86,Single,Graduate,Rural,1
34,84077,1,37808,12,644,2,0.74,Married,Undergraduate,Rural,0
43,58258,8,10827,24,479,0,0.29,Married,Graduate,Urban,0
41,68302,12,37762,36,802,2,0.15,Married,Graduate,Semiurban,0
36,145937,4,13259,12,502,3,0.35,Married,Postgraduate,Urban,0
38,48865,13,19849,60,872,0,0.31,Married,Postgraduate,Semiurban,0
44,26645,15,21232,12,491,2,0.5,Single,Graduate,Rural,1
46,139771,11,45572,60,304,2,0.72,Single,Postgraduate,Urban,1
45,58000,10,29173,48,536,1,0.79,Married,Undergraduate,Urban,0
49,46737,3,10374,48,610,4,0.78,Married,Undergraduate,Semiurban,0
35,31485,14,26174,60,848,0,0.39,Single,Postgraduate,Semiurban,0
21,58565,16,28567,36,355,1,0.65,Married,Graduate,Semiurban,1
45,45522,10,40292,12,742,3,0.35,Single,Undergraduate,Rural,0
27,139614,10,14277,12,536,4,0.15,Married,Undergraduate,Urban,0
29,85155,12,36600,48,496,0,0.66,Married,Graduate,Semiurban,1
44,75168,9,14885,60,884,2,0.11,Single,Postgraduate,Rural,0
21,72487,1,5778,12,870,0,0.43,Married,Undergraduate,Semiurban,0
28,149948,5,34165,12,813,2,0.36,Single,Graduate,Urban,0
44,32342,8,6492,36,748,4,0.65,Single,Graduate,Semiurban,1
31,60806,11,35462,24,659,2,0.71,Single,Undergraduate,Urban,0
37,68770,12,18615,48,329,3,0.34,Married,Postgraduate,Rural,0
28,98623,1,49900,48,407,2,0.75,Single,Undergraduate,Rural,1
55,123177,11,47946,24,744,3,0.34,Single,Graduate,Semiurban,0
55,119785,5,12851,12,737,4,0.46,Married,Undergraduate,Urban,0
53,95629,15,21288,36,756,4,0.68,Married,Postgraduate,Urban,0
25,140993,5,12156,36,794,0,0.65,Married,Graduate,Urban,0
59,72603,12,7044,48,546,3,0.89,Married,Postgraduate,Semiurban,0
48,146944,5,12368,36,842,3,0.28,Married,Undergraduate,Urban,0
27,132726,17,24900,24,863,1,0.63,Married,Undergraduate,Urban,0
29,101974,17,35600,12,887,1,0.59,Single,Postgraduate,Urban,0
28,125947,12,30634,24,738,1,0.83,Married,Undergraduate,Urban,0
32,46399,15,14168,60,577,2,0.23,Single,Postgraduate,Semiurban,0
54,148177,15,25961,48,851,1,0.7,Married,Undergraduate,Semiurban,0
53,105382,6,49096,36,410,3,0.55,Single,Postgraduate,Urban,1
43,101244,12,28852,60,684,2,0.32,Single,Postgraduate,Urban,0
44,129575,18,38110,36,490,4,0.48,Married,Graduate,Rural,0
57,135520,14,37174,12,789,0,0.37,Married,Graduate,Rural,0
55,130904,2,39215,12,725,1,0.56,Single,Postgraduate,Urban,0
42,96534,9,31955,12,704,4,0.81,Married,Undergraduate,Urban,0
47,75106,5,11581,36,634,3,0.56,Married,Undergraduate,Rural,0
55,132599,1,49619,60,508,0,0.61,Single,Undergraduate,Rural,1
21,50678,3,11317,12,321,4,0.51,Single,Postgraduate,Urban,0
55,96218,6,47856,60,507,0,0.14,Single,Postgraduate,Semiurban,0
57,83230,5,31649,36,307,1,0.29,Married,Postgraduate,Semiurban,0
34,134684,5,28132,60,828,3,0.49,Married,Postgraduate,Urban,0
23,94055,1,21789,36,465,0,0.35,Married,Graduate,Urban,0
21,76373,17,19567,36,795,4,0.25,Married,Postgraduate,Rural,0
25,51480,19,19868,48,889,1,0.5,Single,Undergraduate,Rural,0
46,105230,14,29370,36,728,1,0.36,Married,Graduate,Semiurban,0
34,88836,12,47533,36,462,4,0.31,Single,Undergraduate,Urban,1
59,92258,10,35483,24,665,4,0.47,Married,Postgraduate,Rural,0
47,59986,18,17466,12,825,0,0.21,Married,Graduate,Semiurban,0
29,44160,11,33803,48,538,2,0.84,Single,Postgraduate,Semiurban,0
35,105595,2,23230,48,371,1,0.79,Married,Graduate,Semiurban,1
35,121358,18,22862,48,744,0,0.67,Married,Undergraduate,Rural,0
46,99111,7,48355,24,808,4,0.18,Single,Postgraduate,Rural,0
33,84929,15,36259,36,568,0,0.72,Married,Postgraduate,Urban,0
52,93506,11,38539,12,714,4,0.75,Single,Graduate,Urban,0
59,54911,18,26909,60,544,3,0.71,Single,Graduate,Semiurban,0
52,107127,12,35795,36,359,4,0.19,Single,Postgraduate,Semiurban,0
24,51821,6,13770,24,305,4,0.62,Single,Graduate,Rural,1
50,95039,13,16093,36,869,4,0.77,Married,Postgraduate,Rural,0
57,80535,16,5193,36,706,2,0.56,Married,Graduate,Urban,0
43,133453,18,39775,24,516,4,0.62,Married,Undergraduate,Urban,0
59,104458,10,22569,48,325,1,0.47,Single,Graduate,Urban,0
35,32175,8,16190,48,304,1,0.52,Married,Undergraduate,Rural,1
49,139235,18,47752,12,831,0,0.13,Married,Graduate,Semiurban,0
56,74771,1,37327,12,689,2,0.61,Married,Graduate,Urban,0
33,126660,8,47070,48,870,0,0.17,Married,Postgraduate,Urban,0
52,147157,6,25389,60,747,1,0.45,Single,Graduate,Rural,0
27,141300,5,45197,36,445,1,0.33,Single,Graduate,Urban,1
42,106925,15,7261,60,687,3,0.54,Married,Undergraduate,Semiurban,0
48,133374,15,33369,36,548,4,0.21,Single,Graduate,Rural,0
22,86358,2,31512,48,825,1,0.65,Married,Postgraduate,Urban,0
26,37327,1,11716,12,761,0,0.74,Married,Undergraduate,Urban,1
48,67057,11,26259,12,312,0,0.23,Married,Postgraduate,Rural,0
48,26150,10,33933,60,683,4,0.18,Single,Postgraduate,Rural,0
40,24425,18,46689,12,855,4,0.22,Married,Postgraduate,Urban,1
50,143654,18,9378,48,698,3,0.8,Single,Postgraduate,Semiurban,0
31,36032,17,45583,60,318,2,0.52,Single,Undergraduate,Rural,1
48,22198,8,24835,36,874,0,0.47,Married,Graduate,Semiurban,0
45,80500,15,34033,12,790,4,0.19,Single,Postgraduate,Urban,0
59,73394,8,29000,24,718,0,0.62,Single,Undergraduate,Semiurban,0
53,40079,17,15332,12,636,4,0.79,Married,Postgraduate,Urban,0
21,56220,12,47604,36,718,1,0.76,Single,Graduate,Urban,1
47,61874,8,7800,60,421,0,0.6,Single,Undergraduate,Urban,0
33,33859,14,34538,36,731,1,0.16,Married,Undergraduate,Urban,0
23,70460,4,35119,24,343,0,0.19,Married,Graduate,Semiurban,0
59,51419,1,13333,48,616,2,0.14,Single,Undergraduate,Urban,0
26,138865,1,10410,12,680,3,0.31,Married,Graduate,Urban,0
28,28705,19,22839,60,444,1,0.21,Married,Undergraduate,Semiurban,1
47,62880,16,35519,48,626,4,0.31,Single,Undergraduate,Rural,0
29,149838,14,10808,36,662,2,0.41,Single,Graduate,Semiurban,0
57,43236,16,11796,60,349,0,0.85,Married,Graduate,Semiurban,1
53,107955,5,26180,48,364,1,0.59,Single,Undergraduate,Semiurban,0
44,105514,9,48056,60,654,0,0.77,Married,Undergraduate,Urban,1
35,123145,2,22709,24,463,0,0.67,Married,Graduate,Urban,1
52,35358,18,22543,24,440,0,0.19,Single,Graduate,Urban,1
52,119713,6,42418,12,427,3,0.69,Single,Undergraduate,Rural,1
44,114914,9,34075,12,697,3,0.32,Married,Undergraduate,Urban,0
32,122870,1,42755,24,762,4,0.61,Married,Undergraduate,Rural,1
59,96918,9,42465,60,486,1,0.37,Married,Graduate,Urban,1
22,139179,16,35502,24,489,2,0.9,Married,Undergraduate,Semiurban,1
23,136243,13,21724,12,687,2,0.31,Single,Postgraduate,Urban,0
57,34596,9,8828,24,728,2,0.32,Married,Graduate,Rural,0
37,53572,13,22087,24,583,0,0.84,Single,Undergraduate,Rural,0
22,98757,9,17605,60,536,3,0.12,Single,Graduate,Urban,0
22,21279,11,36337,48,493,1,0.66,Married,Postgraduate,Semiurban,1
48,83197,4,10482,12,586,0,0.68,Single,Graduate,Urban,0
43,131496,2,32005,60,435,3,0.77,Single,Undergraduate,Urban,1
57,82516,6,27760,24,470,3,0.88,Married,Postgraduate,Urban,1
52,27083,14,10463,24,458,1,0.88,Single,Postgraduate,Semiurban,1
53,140674,4,9912,48,500,1,0.15,Single,Undergraduate,Rural,0
21,140307,6,9648,12,786,1,0.76,Married,Undergraduate,Semiurban,0
39,146457,19,38623,12,856,0,0.62,Married,Undergraduate,Rural,0
22,129397,6,40634,36,882,4,0.62,Married,Graduate,Rural,1
46,37771,2,49602,12,803,1,0.2,Married,Graduate,Rural,1
52,49975,18,8112,48,670,4,0.62,Married,Graduate,Semiurban,0
26,65648,13,27054,36,402,0,0.89,Married,Undergraduate,Urban,1
52,145641,9,9492,36,424,4,0.83,Married,Undergraduate,Urban,1
24,68285,19,27207,24,612,2,0.45,Single,Graduate,Urban,0
31,39063,13,20114,24,757,4,0.13,Single,Postgraduate,Urban,0
37,87642,11,39285,12,529,1,0.39,Married,Graduate,Urban,0
58,110093,1,21018,36,496,0,0.76,Single,Postgraduate,Semiurban,1
44,134390,7,26386,24,722,1,0.66,Single,Undergraduate,Semiurban,0
25,106143,15,22740,48,871,2,0.47,Married,Undergraduate,Semiurban,0
54,57599,1,49199,24,470,1,0.14,Single,Graduate,Semiurban,1
26,71920,12,13210,24,681,1,0.44,Married,Graduate,Semiurban,0
42,48529,7,49363,36,472,1,0.48,Single,Undergraduate,Semiurban,1
31,55954,15,17743,36,752,3,0.84,Married,Graduate,Semiurban,0
36,47856,19,47092,60,649,2,0.61,Single,Undergraduate,Urban,1
53,22573,1,49299,48,793,1,0.35,Single,Undergraduate,Rural,1
29,98344,17,11588,36,303,1,0.52,Single,Postgraduate,Semiurban,0
26,55367,17,8311,12,392,1,0.15,Married,Graduate,Rural,0
36,122337,3,27432,48,305,0,0.88,Single,Undergraduate,Semiurban,1
49,126732,12,38755,48,587,3,0.39,Single,Graduate,Semiurban,0
23,119608,6,8321,36,445,0,0.48,Married,Postgraduate,Urban,0
40,80774,11,20812,48,723,3,0.38,Married,Postgraduate,Rural,0
56,43752,3,42383,36,756,1,0.65,Single,Graduate,Urban,1
39,75029,8,18146,24,501,2,0.63,Single,Graduate,Urban,0
46,37685,14,18654,60,511,4,0.67,Single,Undergraduate,Rural,1
23,71693,14,40820,24,305,4,0.31,Single,Postgraduate,Urban,1
39,136739,10,5726,36,675,1,0.35,Married,Postgraduate,Semiurban,0
40,75961,2,8760,36,746,0,0.2,Single,Postgraduate,Semiurban,0
52,126937,14,27190,24,405,2,0.62,Single,Graduate,Semiurban,1
27,144956,9,6875,12,700,3,0.13,Married,Undergraduate,Semiurban,0
53,96908,3,28377,12,395,1,0.58,Single,Graduate,Semiurban,0
59,145537,8,9033,12,687,2,0.8,Single,Graduate,Urban,0
38,146678,16,43211,36,751,2,0.81,Single,Graduate,Urban,1
21,94532,2,22373,48,715,3,0.46,Married,Undergraduate,Semiurban,0
31,101994,6,8744,36,803,2,0.47,Married,Graduate,Semiurban,0
48,76133,12,29995,48,753,0,0.16,Single,Postgraduate,Urban,0
45,117425,5,21977,24,590,0,0.64,Single,Postgraduate,Rural,0
43,145055,2,37402,60,833,0,0.76,Married,Postgraduate,Urban,0
51,81268,16,39542,48,492,2,0.3,Single,Undergraduate,Urban,0
50,112201,5,15651,12,449,0,0.44,Single,Graduate,Urban,0
55,58243,15,38703,36,814,3,0.77,Married,Undergraduate,Urban,0
27,77384,12,18395,24,692,2,0.8,Married,Graduate,Urban,0
36,51653,4,34808,12,615,4,0.29,Married,Postgraduate,Rural,0
46,46657,15,41576,24,375,2,0.54,Single,Graduate,Semiurban,1
22,59952,11,21715,60,898,3,0.25,Single,Graduate,Semiurban,0
21,42180,16,49409,36,569,4,0.18,Single,Graduate,Rural,0
32,117432,6,29306,36,524,2,0.83,Single,Undergraduate,Semiurban,0
25,141829,14,24086,60,829,0,0.76,Married,Graduate,Semiurban,0
57,148377,18,19376,36,412,1,0.71,Single,Graduate,Semiurban,1
52,98411,12,10889,48,550,1,0.14,Single,Graduate,Rural,0
29,21622,11,42822,24,532,0,0.77,Married,Undergraduate,Rural,1
55,68756,13,41636,12,382,1,0.45,Married,Undergraduate,Semiurban,1
39,60809,11,25584,60,424,1,0.37,Single,Undergraduate,Semiurban,0
36,36725,16,39610,48,474,0,0.54,Married,Graduate,Semiurban,1
23,81396,15,15058,12,368,0,0.17,Married,Postgraduate,Urban,0
40,71226,15,14101,12,346,2,0.71,Single,Postgraduate,Urban,1
44,126296,4,17497,60,555,2,0.57,Single,Postgraduate,Urban,0
53,101182,11,9658,48,329,0,0.25,Single,Graduate,Rural,0
44,102565,19,16381,12,580,3,0.25,Single,Postgraduate,Semiurban,0
31,49402,15,45312,12,536,1,0.25,Married,Postgraduate,Rural,0
28,24263,4,45486,48,547,2,0.15,Married,Postgraduate,Rural,1
56,143489,13,22154,36,667,1,0.57,Single,Graduate,Rural,0
58,116523,19,24539,12,794,4,0.77,Single,Postgraduate,Semiurban,0
40,66828,2,16777,24,324,0,0.11,Married,Postgraduate,Urban,0
55,140824,14,39396,48,885,3,0.14,Single,Graduate,Semiurban,0
45,67924,4,35373,12,789,4,0.56,Single,Undergraduate,Semiurban,0
55,94182,16,38154,60,793,4,0.76,Single,Postgraduate,Rural,0
45,113065,14,11031,24,613,4,0.36,Single,Undergraduate,Rural,0
49,79052,15,32997,12,674,0,0.38,Married,Postgraduate,Rural,0
38,31664,3,11439,24,324,2,0.58,Single,Graduate,Urban,1
38,55737,8,27785,24,633,0,0.32,Married,Undergraduate,Urban,0
22,121332,16,18392,36,654,2,0.12,Single,Undergraduate,Urban,0
55,109563,10,33669,24,415,4,0.69,Single,Undergraduate,Semiurban,1
36,49373,4,33939,36,347,4,0.6,Married,Undergraduate,Rural,0
56,137369,18,7282,48,398,3,0.56,Single,Postgraduate,Semiurban,0
53,56397,2,39624,36,758,2,0.69,Married,Postgraduate,Urban,0
24,148575,17,29364,60,822,4,0.64,Single,Undergraduate,Rural,0
53,106145,13,6998,12,896,1,0.26,Single,Postgraduate,Urban,0
34,121371,4,36705,48,704,3,0.38,Single,Undergraduate,Rural,0
41,58709,11,43244,48,513,0,0.2,Single,Undergraduate,Rural,0
40,136074,7,14428,60,802,3,0.2,Single,Graduate,Semiurban,0
28,81120,12,42437,36,747,1,0.64,Married,Undergraduate,Semiurban,1
27,39250,10,17336,12,875,2,0.79,Married,Postgraduate,Urban,1
23,41172,7,14342,36,557,0,0.87,Single,Undergraduate,Semiurban,0
37,31555,13,44832,24,420,0,0.6,Single,Graduate,Semiurban,1
53,107410,7,12446,36,353,2,0.25,Married,Postgraduate,Semiurban,0
32,98617,17,43392,48,630,3,0.18,Married,Graduate,Rural,0
42,73276,10,12461,12,540,4,0.75,Single,Graduate,Semiurban,0
42,77492,10,39587,36,829,3,0.56,Single,Undergraduate,Urban,0
50,73002,4,15516,12,782,1,0.59,Married,Graduate,Rural,0
58,140103,4,18749,12,486,4,0.73,Single,Graduate,Rural,1
58,144938,7,22514,24,561,3,0.66,Married,Postgraduate,Semiurban,0
28,109599,1,40426,24,663,2,0.77,Single,Graduate,Rural,1
47,92355,12,41268,48,790,1,0.14,Married,Undergraduate,Urban,0
47,111248,13,29950,60,730,1,0.7,Married,Undergraduate,Urban,0
54,44762,10,39888,12,538,1,0.78,Single,Undergraduate,Rural,0
41,31046,15,41788,60,603,4,0.33,Married,Graduate,Semiurban,1
50,116999,13,15213,48,597,0,0.61,Single,Postgraduate,Semiurban,0
53,144130,9,41027,12,375,4,0.35,Single,Undergraduate,Rural,1
48,136021,9,33011,12,632,3,0.87,Single,Graduate,Urban,0
53,48769,15,47849,60,773,0,0.13,Single,Undergraduate,Rural,0
25,73302,10,39591,36,582,3,0.56,Married,Undergraduate,Semiurban,0
39,43150,10,22858,24,890,0,0.23,Single,Postgraduate,Semiurban,0
24,88247,8,23626,36,371,4,0.67,Single,Undergraduate,Rural,1
55,24853,16,18467,60,562,1,0.24,Single,Postgraduate,Urban,0
37,114613,17,44758,24,874,2,0.29,Single,Graduate,Rural,0
48,140900,5,8134,36,311,1,0.5,Married,Undergraduate,Urban,0
50,109399,4,21743,24,440,4,0.83,Single,Graduate,Urban,1
49,41792,18,20434,12,854,0,0.27,Married,Graduate,Rural,0
26,79129,19,15233,36,316,1,0.22,Married,Graduate,Rural,0
55,126019,4,6141,24,362,4,0.71,Married,Undergraduate,Urban,1
57,94478,7,23019,24,552,3,0.5,Single,Postgraduate,Urban,0
44,133811,10,25384,24,764,2,0.83,Single,Undergraduate,Urban,0
49,134130,18,47903,36,675,1,0.22,Single,Graduate,Urban,0
51,87298,19,41129,48,819,0,0.62,Single,Postgraduate,Semiurban,1
55,51987,4,27967,36,389,3,0.29,Married,Graduate,Rural,0
53,35850,10,45603,60,474,4,0.23,Married,Postgraduate,Urban,1
41,32112,1,16172,36,375,2,0.65,Single,Undergraduate,Rural,1
52,141789,18,21390,24,699,0,0.57,Single,Postgraduate,Urban,0
43,44058,5,8267,12,370,4,0.7,Single,Undergraduate,Rural,1
53,65420,15,44332,36,479,4,0.35,Single,Graduate,Rural,1
23,58890,17,31167,36,423,1,0.46,Single,Postgraduate,Urban,0
38,86017,3,26312,24,680,1,0.42,Single,Graduate,Urban,0
45,67304,12,32840,12,592,0,0.89,Single,Postgraduate,Rural,0
51,52921,2,23990,12,494,4,0.33,Married,Undergraduate,Rural,0
23,125921,1,49179,60,527,1,0.34,Married,Postgraduate,Rural,0
44,21524,17,10906,36,730,2,0.38,Married,Postgraduate,Semiurban,0
52,120424,16,45379,12,735,2,0.55,Married,Undergraduate,Urban,0
42,35048,5,22297,12,760,4,0.3,Single,Undergraduate,Semiurban,0
43,55111,15,7011,48,320,1,0.83,Single,Undergraduate,Semiurban,1
22,57904,3,49014,48,363,0,0.31,Single,Postgraduate,Urban,1
47,74912,7,16738,12,464,0,0.82,Single,Graduate,Urban,1
22,54008,11,33797,60,326,0,0.18,Single,Postgraduate,Semiurban,0
46,20060,10,16120,12,610,2,0.63,Married,Postgraduate,Urban,1
37,94666,9,13767,24,584,1,0.83,Single,Graduate,Rural,0
53,103559,14,27852,36,580,1,0.23,Married,Undergraduate,Rural,0
29,75337,13,18703,60,463,2,0.87,Single,Postgraduate,Semiurban,1
59,130616,2,5929,24,523,0,0.46,Married,Graduate,Semiurban,0
49,33350,3,16951,60,445,0,0.86,Single,Undergraduate,Urban,1
46,44354,7,31039,24,329,4,0.64,Married,Undergraduate,Urban,1
55,65186,18,34504,36,344,3,0.34,Single,Postgraduate,Semiurban,0
45,48145,3,22438,36,770,1,0.25,Single,Undergraduate,Semiurban,0
44,54020,10,10744,48,333,1,0.34,Single,Undergraduate,Rural,0
33,106123,7,23284,24,726,1,0.17,Single,Graduate,Rural,0
27,126667,9,47417,48,520,3,0.22,Married,Graduate,Urban,0
56,95186,17,44748,24,833,4,0.18,Single,Undergraduate,Rural,0
40,105469,11,12069,48,666,3,0.44,Married,Graduate,Urban,0
21,40581,7,47359,36,849,0,0.74,Single,Undergraduate,Urban,1
28,108929,14,24799,60,881,0,0.21,Married,Postgraduate,Urban,0
36,43051,19,38210,48,415,1,0.2,Single,Graduate,Rural,0
34,71474,4,33226,24,538,2,0.61,Single,Undergraduate,Semiurban,0
32,111748,6,9652,24,634,1,0.26,Married,Undergraduate,Semiurban,0
43,145995,10,29323,36,740,2,0.18,Single,Graduate,Rural,0
35,134618,7,47138,24,447,3,0.23,Single,Graduate,Semiurban,1
48,89626,13,12597,12,308,0,0.84,Married,Postgraduate,Urban,1
54,26960,14,42226,60,587,2,0.76,Single,Undergraduate,Semiurban,1
22,55772,4,11591,48,687,3,0.38,Married,Postgraduate,Rural,0
52,41520,8,30833,60,349,0,0.62,Single,Postgraduate,Semiurban,1
43,69481,5,16826,36,816,2,0.53,Married,Postgraduate,Urban,0
42,56408,1,31417,48,886,1,0.64,Married,Graduate,Urban,0
45,114006,4,23693,48,577,1,0.65,Married,Postgraduate,Rural,0
42,148496,3,19138,12,599,1,0.6,Married,Graduate,Rural,0
42,77134,9,7169,36,888,3,0.31,Single,Graduate,Rural,0
26,40491,8,23556,24,434,1,0.13,Single,Postgraduate,Urban,0
35,21341,1,27052,12,879,4,0.46,Married,Postgraduate,Semiurban,0
57,64623,6,11313,12,446,0,0.81,Single,Undergraduate,Semiurban,1
53,110327,9,13315,60,789,3,0.56,Single,Postgraduate,Rural,0
28,20338,7,13036,60,777,1,0.77,Single,Undergraduate,Semiurban,1
25,91431,4,36778,60,458,0,0.89,Married,Postgraduate,Semiurban,1
59,32254,13,32734,12,683,2,0.23,Single,Postgraduate,Rural,0
24,71860,17,28173,24,462,1,0.65,Single,Postgraduate,Rural,1
26,31344,2,35403,48,740,0,0.64,Married,Postgraduate,Urban,1
52,21750,5,5785,60,488,4,0.88,Single,Undergraduate,Urban,1
50,74756,12,11139,24,714,2,0.89,Married,Undergraduate,Urban,0
55,87957,8,11344,36,638,4,0.65,Married,Postgraduate,Urban,0
36,125423,6,23800,60,480,0,0.29,Married,Postgraduate,Semiurban,0
33,78053,8,30372,48,587,4,0.74,Single,Undergraduate,Semiurban,0
50,90855,18,25538,36,486,0,0.19,Single,Graduate,Urban,0
39,35896,3,19973,36,437,0,0.72,Married,Graduate,Urban,1
37,75761,12,10619,48,429,4,0.83,Married,Graduate,Rural,1
39,82552,3,39704,60,493,0,0.41,Married,Undergraduate,Semiurban,0
48,140075,6,41575,12,615,1,0.6,Married,Undergraduate,Semiurban,0
46,97454,2,44919,48,443,0,0.44,Married,Graduate,Urban,1
57,146522,12,47261,48,315,3,0.45,Married,Graduate,Semiurban,1
46,138681,2,32716,48,601,0,0.35,Single,Postgraduate,Rural,0
43,110600,6,8236,36,722,3,0.71,Married,Undergraduate,Rural,0
29,142732,17,20848,24,544,0,0.85,Married,Undergraduate,Semiurban,0
32,132153,3,7352,12,406,0,0.85,Married,Graduate,Urban,1
21,142926,2,6932,60,387,4,0.24,Single,Graduate,Semiurban,0
21,47935,8,15913,60,428,1,0.8,Single,Undergraduate,Rural,1
54,57641,12,13556,24,640,1,0.69,Single,Postgraduate,Urban,0
52,49711,4,26300,48,303,2,0.3,Single,Graduate,Semiurban,0
45,90342,5,10498,12,626,4,0.15,Married,Undergraduate,Urban,0
21,126896,13,15582,60,709,4,0.31,Single,Undergraduate,Urban,0
36,32182,15,14569,60,605,1,0.83,Married,Postgraduate,Rural,1
59,107833,16,9857,48,524,4,0.61,Married,Postgraduate,Urban,0
25,76276,10,5340,24,647,1,0.68,Married,Graduate,Semiurban,0
42,39541,16,48949,12,620,4,0.31,Married,Graduate,Urban,1
49,114457,12,21766,24,858,0,0.68,Married,Graduate,Urban,0
23,102310,17,31132,24,480,1,0.12,Married,Undergraduate,Semiurban,0
32,64813,16,13491,12,685,1,0.4,Single,Graduate,Rural,0
46,57198,12,5138,12,407,3,0.6,Single,Undergraduate,Rural,0
36,28820,8,5358,60,830,4,0.22,Single,Graduate,Semiurban,0
57,44070,3,14714,60,709,4,0.76,Single,Postgraduate,Semiurban,0
42,89768,16,24840,12,595,1,0.29,Single,Postgraduate,Rural,0
49,31122,13,39395,36,470,0,0.62,Married,Undergraduate,Urban,1
34,100559,19,35654,60,630,0,0.42,Single,Postgraduate,Semiurban,0
